Id,Weekly_Sales
1_1_2012-11-02,31149.33136139458
1_1_2012-11-09,18886.44624957483
1_1_2012-11-16,19102.83876445578
1_1_2012-11-23,19807.244659863947
1_1_2012-11-30,24683.741419642873
1_1_2012-12-07,32104.843397321412
1_1_2012-12-14,47368.30528571428
1_1_2012-12-21,52737.23292942176
1_1_2012-12-28,23950.363526785713
1_1_2013-01-04,16376.215041666666
1_1_2013-01-11,16898.32864285714
1_1_2013-01-18,18005.724848214286
1_1_2013-01-25,18464.86519642858
1_1_2013-02-01,22815.437061224493
1_1_2013-02-08,38573.68877678572
1_1_2013-02-15,50570.60098596941
1_1_2013-02-22,19899.96523554422
1_1_2013-03-01,20381.214044217682
1_1_2013-03-08,21214.150622023804
1_1_2013-03-15,21847.45356249999
1_1_2013-03-22,22285.492101190473
1_1_2013-03-29,31528.097334608854
1_1_2013-04-05,57287.98500892859
1_1_2013-04-12,36495.37741369046
1_1_2013-04-19,18464.68671428571
1_1_2013-04-26,17216.48619642857
1_1_2013-05-03,18203.46707440475
1_1_2013-05-10,18143.728866071422
1_1_2013-05-17,17735.701056547627
1_1_2013-05-24,17110.35358928572
1_1_2013-05-31,16764.486416666667
1_1_2013-06-07,17216.83480059524
1_1_2013-06-14,17215.999919642858
1_1_2013-06-21,16682.559022959187
1_1_2013-06-28,16336.415734268705
1_1_2013-07-05,17078.243046768705
1_1_2013-07-12,16738.236101190476
1_1_2013-07-19,16368.735473214287
1_1_2013-07-26,16043.351580357148
1_2_2012-11-02,45738.35213095237
1_2_2012-11-09,44495.143684523806
1_2_2012-11-16,43810.1681845238
1_2_2012-11-23,44627.65747916667
1_2_2012-11-30,45309.15172916667
1_2_2012-12-07,48323.77703146256
1_2_2012-12-14,50067.3829243197
1_2_2012-12-21,60208.65082440474
1_2_2012-12-28,45718.35089880951
1_2_2013-01-04,43781.33524744897
1_2_2013-01-11,43125.191764455776
1_2_2013-01-18,43024.56645790816
1_2_2013-01-25,42570.94848469387
1_2_2013-02-01,50897.45190476194
1_2_2013-02-08,49858.465053571446
1_2_2013-02-15,48497.58940476192
1_2_2013-02-22,48032.469854591865
1_2_2013-03-01,51059.989333333346
1_2_2013-03-08,48705.884616071424
1_2_2013-03-15,46909.20007440478
1_2_2013-03-22,45784.18920535716
1_2_2013-03-29,46479.46317559526
1_2_2013-04-05,49450.005714285704
1_2_2013-04-12,45073.997657738095
1_2_2013-04-19,45410.81527678571
1_2_2013-04-26,45536.69563392857
